DCT_KEY;DCT_VAL;DCT_LNG_ID
page.trainings.modal.edit.training.title;Edit training;2
page.trainings.repeats.label;Repeats;2
page.trainings.set.label;Set;2
page.trainings.set.noExercises.info;Currently, you don't have any exercises in this set;2
page.trainings.set.noExercises.click.info;Add your first exercise!;2
page.weights.add.tooltip;Add measurement;2
page.weights.chart.point.label;Weight [kg];2
page.weights.delete.tooltip;Delete measurements;2
page.weights.edit.tooltip;Edit measurements;2
page.weights.list.noData.click.info;Add your first measurement;2
page.weights.list.noData.info;Currently, you don't have any measurement;2
page.weights.loadFirst.tooltip;Load measurements first!;2
page.weights.modal.add.date.label;Date;2
page.weights.modal.add.title;Add measurement;2
page.weights.modal.add.weight.label;Weight;2
page.weights.modal.edit.day.label;Day;2
page.weights.modal.edit.measurement.label;Measurement;2
